"Transaction ID",Item,Quantity,"Price Per Unit","Total Spent","Payment Method",Location,"Transaction Date"
TXN_1961373,Coffee,2,2,4.0,"Credit Card",Takeaway,2023-09-08
TXN_4977031,Cake,4,3,12.0,Cash,In-store,2023-05-16
TXN_3160411,Coffee,2,2,4.0,"Digital Wallet",In-store,2023-06-11
TXN_2548360,Salad,5,5,25.0,Cash,Takeaway,2023-11-07
TXN_7619095,Sandwich,2,4,8.0,Cash,In-store,2023-05-03
TXN_2847255,Salad,3,5,15.0,"Credit Card",In-store,2023-11-15
TXN_6769710,Juice,2,3,6.0,Cash,In-store,2023-02-24
TXN_3709394,Juice,4,3,12.0,Cash,Takeaway,2023-01-15
TXN_3567645,Smoothie,4,4,16.0,"Credit Card",Takeaway,2023-03-30
TXN_5132361,Sandwich,3,4,12.0,"Digital Wallet",Takeaway,2023-12-01
TXN_9400181,Sandwich,5,4,20.0,Cash,In-store,2023-06-03
TXN_5183041,Cookie,5,1,5.0,"Credit Card",In-store,2023-04-20
TXN_5695074,Juice,4,3,12.0,"Credit Card",Takeaway,2023-04-10
TXN_8853997,Smoothie,2,4,8.0,"Digital Wallet",Takeaway,2023-10-09
TXN_1080432,Salad,2,5,10.0,"Credit Card",In-store,2023-04-29
TXN_8078640,Juice,4,3,12.0,"Digital Wallet",In-store,2023-11-03
TXN_8614868,Smoothie,5,4,20.0,"Digital Wallet",Takeaway,2023-12-05
TXN_6421134,Sandwich,4,4,16.0,Cash,Takeaway,2023-11-03
TXN_3068204,Cookie,1,1,1.0,"Credit Card",Takeaway,2023-10-03
TXN_2621580,Tea,2,1.5,3.0,Cash,In-store,2023-03-22
TXN_4726376,Cake,2,3,6.0,"Credit Card",In-store,2023-01-31
TXN_6420335,Coffee,1,2,2.0,Cash,Takeaway,2023-07-16
TXN_3829165,Juice,4,3,12.0,Cash,In-store,2023-06-15
TXN_3748616,Coffee,2,2,4.0,"Credit Card",In-store,2023-12-09
